DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Austria,2020,4.11,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2003,4.35,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2004,3.91,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2005,4.04,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2006,4.17,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2007,3.87,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2008,4.06,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2009,3.91,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2010,3.92,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2011,3.86,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2012,3.95,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2013,3.81,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2014,3.81,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2015,3.83,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2016,3.85,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2017,3.84,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2018,3.79,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2019,3.60,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Belgium,2020,3.63,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2005,3.79,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2006,4.06,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2007,4.93,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2008,4.76,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2009,4.48,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2010,4.49,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2011,4.46,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2012,4.30,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2013,4.60,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2014,5.12,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2015,4.80,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2016,4.62,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2017,4.49,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2018,5.07,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2019,4.89,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Germany,2020,4.87,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2003,6.38,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2004,5.92,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2005,5.79,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2006,6.05,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2007,6.01,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2008,5.89,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2009,5.76,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2010,5.61,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2011,5.96,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2012,6.63,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2013,6.60,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2014,6.46,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2015,6.51,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2016,6.55,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2017,6.11,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2018,5.51,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2019,5.11,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Greece,2020,5.23,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2004,5.23,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2005,5.55,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2006,5.52,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2007,5.48,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2008,5.59,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2009,5.87,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2010,6.16,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2011,6.28,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2012,6.47,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2013,6.29,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2014,6.81,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2015,6.87,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2016,6.60,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2017,6.59,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2018,6.03,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2019,5.94,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Spain,2020,5.77,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2004,3.54,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2005,3.64,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2006,3.64,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2007,3.71,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2008,3.76,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2009,3.71,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2010,3.61,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2011,3.69,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2012,3.69,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2013,3.59,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2014,3.62,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2015,3.56,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2016,3.58,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2017,3.54,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2018,3.65,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2019,3.69,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Finland,2020,3.72,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2004,4.16,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2005,4.02,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2006,3.98,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2007,3.88,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2008,4.40,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2009,4.42,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2010,4.43,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2011,4.61,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2012,4.54,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2013,4.48,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2014,4.27,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2015,4.29,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2016,4.32,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2017,4.31,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2018,4.23,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2019,4.27,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,France,2020,4.42,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2004,5.62,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2005,5.57,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2006,5.45,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2007,5.42,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2008,5.21,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2009,5.31,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2010,5.38,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2011,5.73,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2012,5.64,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2013,5.85,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2014,5.78,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2015,5.84,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2016,6.27,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2017,5.92,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2018,6.09,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2019,6.01,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Italy,2020,5.75,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2005,3.99,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2006,3.82,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2007,3.97,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2008,4.01,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2009,3.97,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2010,3.65,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2011,3.75,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2012,3.61,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2013,3.58,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2014,3.83,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2015,3.82,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2016,3.93,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2017,3.99,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2018,4.05,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2019,3.94,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Netherlands,2020,4.15,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2004,6.96,b,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2005,6.96,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2006,6.73,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2007,6.47,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2008,6.11,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2009,6.01,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2010,5.56,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2011,5.68,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2012,5.82,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2013,6.01,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2014,6.23,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2015,6.01,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2016,5.88,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2017,5.75,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2018,5.22,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2019,5.16,,
ESTAT:ILC_DI11(1.0),08/06/26 23:00:00,Annual,Total,Total,Ratio,Portugal,2020,4.99,,
